action,service,operation_type,risk_level,risk_weight,reason
apigateway:DeleteResource,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:CreateGeneratedTemplate,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:PutInventory,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:ImportApi,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:CreateLoginProfile,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdateCodeRepository,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:ListInsightsData,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteMetricFilter,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:ModifyInstanceEventStartTime,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:UpdateFindingsFeedback,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetUserDefinedFunctions,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreatePresignedDomainUrl,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:UpdateRequestValidator,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:ListRuleNamesByTarget,EventBridge,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribePrincipalIdFormat,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:GetMalwareScan,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeAction,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:PutFunctionScalingConfig,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
comprehend:DescribePiiEntitiesDetectionJob,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:DeletePortalProductSharingPolicy,API Gateway V2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
comprehend:ListEntitiesDetectionJobs,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyInstanceCapacityReservationAttributes,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:UntagResource,ECS,TAGGING,LOW,3,Changes resource tags or metadata.
glue:CancelMLTaskRun,Glue,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sagemaker:CreateContext,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:RemoveUserFromGroup,IAM,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
guardduty:DescribeOrganizationConfiguration,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:GetReusableDelegationSet,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:CreateResourceDataSync,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ModifyManagedResourceVisibility,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:DeleteFoundationModelAgreement,Bedrock,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:TagServerCertificate,IAM,TAGGING,LOW,3,Changes resource tags or metadata.
sqs:SetQueueAttributes,SQS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBProxyTargetGroups,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetNetworkInsightsAccessScopeContent,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:ModifyScheduledAction,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:ListModelCards,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AssociateNatGatewayAddress,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:ListInventoryEntries,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:FlushStageAuthorizersCache,API Gateway,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
eks:ListAddons,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:GetUserAttributeVerificationCode,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:DeleteDirectQueryDataSource,OpenSearch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigatewayv2:ListRoutingRules,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeDataQualityJobDefinition,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetDomainName,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyVerifiedAccessEndpointPolicy,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
guardduty:UpdateIPSet,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:GetAuthorizers,API Gateway V2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigateway:GetModelTemplate,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:GetScheduledQueryHistory,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:ListInstanceTypeDetails,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteFlowDefinition,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ssm:DescribeMaintenanceWindowExecutionTaskInvocations,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:UpdateWorkflow,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:CreatePolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
events:CreateEventBus,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:CreateTrustedEntitySet,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CreateGlobalCluster,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateLocalGatewayVirtualInterface,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListServerCertificateTags,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:ContinueUpdateRollback,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudformation:EstimateTemplateCost,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
s3:PutBucketWebsite,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:ListPoliciesGrantingServiceAccess,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
s3:CreateSession,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteNatGateway,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CreatePublicIpv4Pool,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:PutRolePermissionsBoundary,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigatewayv2:GetModels,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:AddUserToGroup,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:ListProvisionedConcurrencyConfigs,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListGroupsForUser,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeTransitGatewayMeteringPolicies,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:DeleteIntegration,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeInstanceCreditSpecifications,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:DescribePolicies,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:GetDirectQueryDataSource,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:CreateGrant,KMS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DeleteSecondaryNetwork,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListNotebookInstanceLifecycleConfigs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:DeleteWarmPool,Auto Scaling,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:DeleteRequestValidator,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
athena:UpdatePreparedStatement,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:ModifyDBSubnetGroup,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:DetachLoadBalancerTargetGroups,Auto Scaling,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
iam:ListAttachedRolePolicies,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:DescribeStream,Kinesis,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UpdateSAMLProvider,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:ModifyClusterSnapshotSchedule,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:LabelParameterVersion,Systems Manager,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:GetLaunchTemplateData,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sqs:ListQueueTags,SQS,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:DeleteUserPermissionsBoundary,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ssm:GetCalendarState,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:DeleteDatabase,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
dynamodb:DescribeTable,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DescribeRiskConfiguration,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeHosts,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyFleet,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:CreateRedshiftIdcApplication,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DeleteDBProxy,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:BatchGetCrawlers,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:CreateScheduledQuery,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeLocalGatewayRouteTables,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:PUT,apigateway,WRITE,MEDIUM,5,Updates or creates API Gateway configuration/resources and can change API behavior.
rds:DeleteDBSubnetGroup,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
comprehend:BatchDetectEntities,Comprehend,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:ListEntities,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:CreateAuthenticationProfile,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:UpdateHostedZoneComment,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
events:DisableRule,EventBridge,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
route53:ListResourceRecordSets,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:SetSubscriptionAttributes,SNS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeVpcEncryptionControls,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeletePartnerApp,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:GetRequestValidators,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteLocalGatewayVirtualInterface,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
logs:ListLogGroupsForQuery,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:DescribeCustomKeyStores,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StopOptimizationJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
lambda:UpdateCapacityProvider,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:GetDatabase,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:DeleteTaskDefinitions,ECS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudtrail:ListEventDataStores,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:AssociatePackages,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBParameters,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteModelPackage,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
redshift:DescribeReservedNodeOfferings,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisassociateIamInstanceProfile,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
kms:ListAliases,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:BatchDeleteClusterSnapshots,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DeleteTransitGatewayConnectPeer,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
bedrock:CreateGuardrailVersion,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:AssociatePackage,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:ConfirmForgotPassword,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:ModifyVpcEndpointServicePayerResponsibility,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:GetResource,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:EnableRouteServerPropagation,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:GetPolicyVersion,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
glue:ImportCatalogToGlue,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:TagResource,Lambda,TAGGING,LOW,3,Changes resource tags or metadata.
sagemaker:ListSubscribedWorkteams,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateNatGateway,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sns:Publish,SNS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:ListGroups,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
events:PutRule,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:ListKeyPolicies,KMS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeActivations,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudwatch:UntagResource,CloudWatch,TAGGING,LOW,3,Changes resource tags or metadata.
events:PutTargets,EventBridge,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetMLTaskRun,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:DescribeAddon,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ImportHubContent,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
firehose:DescribeDeliveryStream,Kinesis Firehose,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeFlowDefinition,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:RestoreDBInstanceFromDBSnapshot,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cognito-idp:CreateTerms,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
firehose:UntagDeliveryStream,Kinesis Firehose,TAGGING,LOW,3,Changes resource tags or metadata.
ec2:CreateCustomerGateway,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:DeleteFunctionCodeSigningConfig,Lambda,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:EnableOrganizationsRootSessions,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigatewayv2:DeleteModel,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:CreateResource,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateDefaultVpc,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeMacHosts,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:ChangeResourceRecordSets,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kms:ImportKeyMaterial,KMS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:CancelExportTask,RDS,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
cognito-idp:UpdateManagedLoginBranding,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:ListStackRefactors,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:AdminSetUserMFAPreference,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
route53:ListCidrLocations,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DisableCapacityManager,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
athena:DeleteDataCatalog,Athena,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:DeleteSSHPublicKey,IAM,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:DeleteVpcLink,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecs:DescribeClusters,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:GetIntegrationResponse,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeCoipPools,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:ListTagsForResource,Comprehend,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:UntagResource,ECR,TAGGING,LOW,3,Changes resource tags or metadata.
opensearch:UpdatePackageScope,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteVerifiedAccessInstance,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:GetEntityRecords,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:StartCrawlerSchedule,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateEgressOnlyInternetGateway,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
apigateway:GetDomainName,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeDBEngineVersions,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:ListModelImportJobs,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudwatch:DeleteInsightRules,CloudWatch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudwatch:ListDashboards,CloudWatch,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeMonitoringSchedule,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeReservedDBInstancesOfferings,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:ImportStacksToStackSet,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:DescribeScheduledActions,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:DescribeLoadBalancerTargetGroups,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:ListFunctionEventInvokeConfigs,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeSpotPriceHistory,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribePipeline,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DescribeAccountPolicies,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateVpcEncryptionControl,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:CreateCapacityReservation,Athena,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeVerifiedAccessGroups,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeInstanceTopology,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DeleteDBParameterGroup,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
eks:UpdateClusterVersion,EKS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:ReplaceImageCriteriaInAllowedImagesSettings,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
logs:CreateLogGroup,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:DeleteCustomModel,Bedrock,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
kms:Encrypt,KMS,OTHER,MEDIUM,5,Project-defined review required for this operation.
ecr:DeregisterPullTimeUpdateExclusion,ECR,OTHER,MEDIUM,5,Project-defined review required for this operation.
cognito-idp:CompleteWebAuthnRegistration,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DescribeTrafficMirrorFilters,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:UpdateServiceSetting,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:DescribeConfigurationTemplates,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:StopPiiEntitiesDetectionJob,Comprehend,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
redshift:ResumeCluster,Redshift,OTHER,MEDIUM,5,Project-defined review required for this operation.
glue:BatchDeleteConnection,Glue,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudformation:CreateStackRefactor,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:ListTagsForResource,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteTransformer,CloudWatch Logs,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:GetCapacityReservationUsage,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:AttachTrafficSources,Auto Scaling,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
